ticker,event_date,label,prev_close,premarket_open,premarket_high,market_open,day_high,day_low,close,avg_volume_20d,day_volume,premarket_volume,premarket_dollar_volume,market_cap,free_float,short_float_pct,days_to_cover,utilization_rate,borrow_fee_rate,reverse_split_in_last_24m,reverse_split_dates,offering_in_last_12m,registered_direct_or_pipe_in_last_12m,atm_offering_or_dilution_risk,deficiency_notice,otc_risk,all_time_high_or_major_5y_high,drawdown_from_major_high_pct,has_never_reverse_split,former_runner_history,number_of_prior_explosive_days,highest_intraday_expansion_last_252d_pct,max_volume_shock_last_252d,clean_collapse_recovery_candidate,years_since_major_peak,distance_from_52w_low_pct,premarket_gap_pct,premarket_vwap,premarket_hold_quality,premarket_range_pct,open_vs_prev_close_pct,open_vs_premarket_high_pct,first_5m_high,first_5m_low,first_5m_close,opening_range_break_yes_no,first_pullback_hold_yes_no,rvol,close_strength,above_vwap_yes_no,breakout_distance_pct,distance_to_20d_high_pct,distance_to_50d_high_pct,sma20,sma50,sma150,sma200,price_above_sma50_yes_no,price_above_sma200_yes_no,vcp_like_contraction_yes_no,ttm_squeeze_on,ttm_squeeze_fired,atr_14,amihud_illiquidity_proxy,headline_primary,headline_secondary,catalyst_type,catalyst_freshness_hours,news_source_quality,narrative_pivot_yes_no,notes
QVCGA,2025-02-24,FAILED_SETUP,18.0,,,19.0,31.5,18.0,21.0,26154.9,922184,,,6594701,6677796.0,17.54,6.14,,,NO,,,,,,,142.0,87.32,YES,NO,0.0,28.57,4.23,YES,2.06,16.13,,,,,5.56,,,,,,,35.26,0.222,,61.54,-7.69,-21.74,18.35,17.98,24.81,27.5975,YES,NO,YES,YES,NO,0.857143,0.03259184,,,,,,,"It looked explosive intraday with about 75% peak expansion, but the close_strength faded to 0.22 and next-day follow-through failed."
ONDS,2025-03-11,FAILED_SETUP,0.727,,,1.18,1.18,0.681,0.724,2981615.0,104014700,,,5175840256,463830633.0,35.22,1.74,,,NO,,,,,,,3.4,78.62,YES,NO,0.0,40.2,32.37,YES,0.18,35.38,,,,,62.31,,,,,,,34.89,0.086,,-47.09,-67.4,-78.62,1.2868,1.80272,1.180307,1.07785,NO,NO,YES,NO,NO,0.146786,0.02215554,,,,,,,"It looked explosive intraday with about 62% peak expansion, but the close_strength faded to 0.09 and next-day follow-through failed."
HCTI,2025-06-12,FAILED_SETUP,134.460007,,,493.019989,642.419983,418.320007,448.200012,39149.05,384725,,,4859942,121002.0,8.88,0.11,,,NO,2023-05-26,,,,,,162696.59375,99.92,NO,YES,8.0,228.15,335.55,NO,1.92,50.0,,,,,266.67,,,,,,,9.83,0.133,,-91.4,-98.2,-98.2,298.052999,2010.326395,8213.414384,8363.187895,NO,NO,YES,NO,NO,23.477142,0.03098992,,,,,,,"It looked explosive intraday with about 378% peak expansion, but the close_strength faded to 0.13 and next-day follow-through failed."
GIBO,2025-07-10,FAILED_SETUP,6.8,,,10.6,12.4,8.8,9.8,202297.05,5308483,,,43509992,366021800.0,0.44,3.44,,,NO,,,,,,,4836.0,99.86,YES,YES,1.0,90.71,42.38,YES,0.18,17.24,,,,,55.88,,,,,,,26.24,0.278,,-96.95,-98.33,-99.86,147.84,810.048002,1772.196001,1876.897,NO,NO,YES,NO,NO,27.985714,0.09464908,,,,,,,"It looked explosive intraday with about 82% peak expansion, but the close_strength faded to 0.28 and next-day follow-through failed."
ZDAI,2025-08-20,FAILED_SETUP,7.52,,,7.984,11.088,7.616,7.872,4991.15,890319,,,25176938,27724200.0,0.11,1.56,,,NO,,,,,,,1717.76001,99.56,YES,YES,2.0,918.6,,YES,0.73,27.03,,,,,6.17,,,,,,,178.38,0.074,,2.67,-30.37,-53.92,8.588,10.82688,10.95968,39.11928,NO,NO,NO,NO,NO,0.76,1.07861287,,,,,,,"It looked explosive intraday with about 47% peak expansion, but the close_strength faded to 0.07 and next-day follow-through failed."
AGPU,2025-09-29,FAILED_SETUP,11.625,,,32.099998,32.099998,16.514999,18.0,16493.0,3566607,,,25591412,3963733.0,3.07,4.28,,,NO,2014-10-28;2016-10-28;2019-10-29;2023-04-24,,,,,,208.199997,94.42,NO,YES,3.0,155.0,1162.74,YES,2.46,40.91,,,,,176.13,,,,,,,216.25,0.095,,67.32,-39.41,-39.41,14.637,13.2798,14.9917,15.837825,NO,NO,NO,NO,NO,1.963929,0.25874161,,,,,,,"It looked explosive intraday with about 176% peak expansion, but the close_strength faded to 0.10 and next-day follow-through failed."
SXTC,2026-01-08,FAILED_SETUP,300.0,,,304.5,1047.0,181.5,187.5,731.85,735393,,,1973644,702049.0,7.48,0.84,,,NO,2021-02-22;2023-10-05,,,,,,2550.0,88.24,NO,YES,5.0,520.24,778.38,NO,2.98,543.09,,,,,1.5,,,,,,,1004.84,0.007,,249.0,0.0,0.0,233.489999,218.826,237.479,254.304,YES,YES,NO,NO,NO,19.382141,1.35944104,,,,,,,"It looked explosive intraday with about 249% peak expansion, but the close_strength faded to 0.01 and next-day follow-through failed."
MTEN,2026-01-09,FAILED_SETUP,120.599998,,,130.399994,256.0,23.200001,26.4,6424.55,1593608,,,1672112,33332.0,5.15,0.29,,,NO,,,,,,,5206.0,97.68,YES,YES,1.0,104.86,25.0,YES,0.47,15.96,,,,,8.13,,,,,,,248.05,0.014,,-19.5,-62.08,-87.57,157.1,306.548,1605.301334,1646.596,NO,NO,YES,YES,NO,43.985713,0.47481712,,,,,,,"It looked explosive intraday with about 112% peak expansion, but the close_strength faded to 0.01 and next-day follow-through failed."
PN,2026-01-16,FAILED_SETUP,16.200001,,,16.200001,40.0,11.0,14.98,7990.5,1571530,,,6979500,1019257.0,1.27,0.52,,,NO,,,,,,,89.0,81.8,YES,NO,,,,NO,0.87,,,,,,0.0,,,,,,,196.67,0.137,,122.22,-10.0,-22.86,15.111,15.16,27.289733,34.1884,YES,NO,NO,YES,NO,1.335714,1.51967302,,,,,,,"It looked explosive intraday with about 147% peak expansion, but the close_strength faded to 0.14 and next-day follow-through failed."
LBGJ,2026-02-19,FAILED_SETUP,85.0,,,85.0,127.0,83.300003,100.0,260.4,31163,,,2154217,166623.0,3.96,0.05,,,NO,,,,,,,550.0,84.55,YES,NO,0.0,72.54,87.78,NO,1.33,102.38,,,,,0.0,,,,,,,119.67,0.382,,42.7,-4.49,-4.49,79.685001,71.44,88.604,103.4455,YES,NO,NO,YES,NO,7.17857,2.46267312,,,,,,,"It looked explosive intraday with about 49% peak expansion, but the close_strength faded to 0.38 and next-day follow-through failed."
